,Filename,RelFreq Noun,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORGS
110,1034.a3.txt,2029.97,1076.29,626.7,313.35,1,0,0
111,1036.a3.txt,2014.56,946.6,703.88,461.17,1,0,0
112,1041.a3.txt,1737.59,1229.31,626.48,378.25,8,0,0
113,1043.a3.txt,1804.06,1039.43,692.95,633.21,5,0,0
114,1048.a3.txt,2323.46,1184.51,535.31,523.92,0,0,0
115,1049.a3.txt,1767.68,1287.88,669.19,568.18,0,0,0
116,1050.a3.txt,2176.7,1101.15,601.79,448.14,1,0,0
117,1052.a3.txt,2230.89,1123.24,624.02,343.21,1,0,0
118,1055.a3.txt,1722.75,1197.85,699.87,578.73,2,0,0
119,1057.a3.txt,1718.4,1152.99,676.27,509.98,1,0,0
120,1058.a3.txt,2418.81,1119.82,559.91,481.52,1,0,0
121,1060.a3.txt,1849.64,1109.79,715.99,513.13,0,0,0
122,1061.a3.txt,1847.67,1100.14,564.17,451.34,0,0,0
123,1064.a3.txt,2187.89,1186.65,667.49,519.16,0,0,0
124,1065.a3.txt,1927.48,1106.87,658.4,553.44,0,0,0
125,1066.a3.txt,2031.06,1194.74,609.32,501.79,0,0,0
126,1067.a3.txt,1584.3,1119.19,799.42,377.91,5,0,0
127,1068.a3.txt,1891.12,1260.74,616.05,444.13,0,1,0
